zipcode,ntrees
83,932
10001,850
10002,2158
10003,1943
10004,117
10005,130
10006,48
10007,338
10009,1854
10010,841
10011,2040
10012,1030
10013,1132
10014,2503
10016,1785
10017,812
10018,441
10019,1619
10020,94
10021,1885
10022,1574
10023,2203
10024,3231
10025,3570
10026,1769
10027,2845
10028,1715
10029,2242
10030,1313
10031,2456
10032,2072
10033,1852
10034,1506
10035,1869
10036,823
10037,659
10038,356
10039,772
10040,1451
10048,11
10065,1831
10069,112
10075,871
10111,25
10115,7
10128,2034
10280,405
10281,71
10282,230
